Isolate ID,Sample ID,Genus,Species,sigB AT,Number of  contigs,Genome size (bp),GC (%),N50,Average coverage,Bioproject,SRA Run Accession,WGS Acession,Phylogroup,State,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (C),Min temperature (C),Wind speed (m/s),Open water (%),Developed (< 20% Impervious) (%),Developed (> 20% Impervious) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%)
L7-0186,IN-TR-5,Listeria,L. seeligeri,3,18,2821794,37.22,524262,155.984,PRJNA561882,SRR11343851,JAARYS000000000,L10,IN,41.1392,-86.597,219.31,0.0951,0.123,2.021,5.754,2.3931,19.3049,869.9756,0.0205,3.8885,41.3812,121.3053,21.9756,0.0221,17.7153,5.0206,8.1326,4.6109,61.125,-0.1148,-10.1965,4.1377,1.3678,4.015,2.0058,0.0346,25.4018,0.0268,1.1163,1.1469,56.0831,8.8018
L7-0191,OH-CV-1,Listeria,L. seeligeri,12,19,2869399,37.22,311171,153.763,PRJNA561882,SRR11343843,JAARYR000000000,L9,OH,41.1844,-81.5762,219.91,0.315,0.1565,2.2735,5.484,3.7323,31.1096,1158.3397,0.2785,47.3877,64.7684,156.254,17.1753,0.0311,42.3393,5.8183,13.54,1.5667,65.85,0.7165,-8.1771,4.3408,1.0395,16.1658,18.452,0.1343,51.9639,0.0946,1.0659,7.8648,0.396,2.8231
L7-0192,OH-CV-1,Listeria,L. welshimeri,194,21,2826887,36.19,1516505,174.681,PRJNA561882,SRR11343842,JAATOA000000000,L8,OH,41.1844,-81.5762,219.91,0.315,0.1565,2.2735,5.484,3.7323,31.1096,1158.3397,0.2785,47.3877,64.7684,156.254,17.1753,0.0311,42.3393,5.8183,13.54,1.5667,65.85,0.7165,-8.1771,4.3408,1.0395,16.1658,18.452,0.1343,51.9639,0.0946,1.0659,7.8648,0.396,2.8231
L7-0197,OH-CV-2,Listeria,L. monocytogenes,192,9,2850484,38.12,1464975,200.817,PRJNA514286,SRR9845433,AAJADL000000000,L1,OH,41.1903,-81.5714,221.59,0.4701,0.2069,4.1567,6.087,6.7201,23.9241,2258.0064,0.2743,17.7176,69.6423,349.7998,58.8617,0.0338,38.1357,8.6047,29.6735,2.9127,64.85,0.3797,-8.1971,4.355,1.1024,15.6584,17.796,0.218,53.4763,0.1106,1.0063,7.5308,0.4275,2.6737
L7-0198,OH-CV-2,Listeria,L. seeligeri,20,115,2907458,37.3,169206,139.717,PRJNA561882,SRR11344222,JAASWT000000000,L9,OH,41.1903,-81.5714,221.59,0.4701,0.2069,4.1567,6.087,6.7201,23.9241,2258.0064,0.2743,17.7176,69.6423,349.7998,58.8617,0.0338,38.1357,8.6047,29.6735,2.9127,64.85,0.3797,-8.1971,4.355,1.1024,15.6584,17.796,0.218,53.4763,0.1106,1.0063,7.5308,0.4275,2.6737
L7-0199,OH-CV-2,Listeria,L. seeligeri,3,18,2872071,37.27,552445,120.742,PRJNA561882,SRR11344221,JAARYQ000000000,L10,OH,41.1903,-81.5714,221.59,0.4701,0.2069,4.1567,6.087,6.7201,23.9241,2258.0064,0.2743,17.7176,69.6423,349.7998,58.8617,0.0338,38.1357,8.6047,29.6735,2.9127,64.85,0.3797,-8.1971,4.355,1.1024,15.6584,17.796,0.218,53.4763,0.1106,1.0063,7.5308,0.4275,2.6737
L7-0201,OH-CV-2,Listeria,L. monocytogenes,104,11,2845559,38.09,542905,143.458,PRJNA561882,SRR10019267,VTKI00000000,L1,OH,41.1903,-81.5714,221.59,0.4701,0.2069,4.1567,6.087,6.7201,23.9241,2258.0064,0.2743,17.7176,69.6423,349.7998,58.8617,0.0338,38.1357,8.6047,29.6735,2.9127,64.85,0.3797,-8.1971,4.355,1.1024,15.6584,17.796,0.218,53.4763,0.1106,1.0063,7.5308,0.4275,2.6737
L7-0205,OH-CV-3,Listeria,L. monocytogenes,195,15,2900024,37.98,513632,140.525,PRJNA561882,SRR10019266,VTKH00000000,L1,OH,41.195,-81.5667,218.34,0.2686,0.1156,2.7863,7.113,3.5392,8.7017,2451.8575,0.5223,12.6016,53.2634,171.08,43.2505,0.0322,38.4004,8.0555,116.1476,6.291,64.85,0.3797,-8.1971,4.355,1.0532,15.5022,17.4614,0.1844,54.4098,0.113,0.9547,7.4553,0.5502,2.3158
L7-0207,OH-CV-3,Listeria,L. seeligeri,3,13,2828795,37.25,514580,121.15,PRJNA561882,SRR11344220,JAARYP000000000,L10,OH,41.195,-81.5667,218.34,0.2686,0.1156,2.7863,7.113,3.5392,8.7017,2451.8575,0.5223,12.6016,53.2634,171.08,43.2505,0.0322,38.4004,8.0555,116.1476,6.291,64.85,0.3797,-8.1971,4.355,1.0532,15.5022,17.4614,0.1844,54.4098,0.113,0.9547,7.4553,0.5502,2.3158
L7-0213,OH-CV-4,Listeria,L. monocytogenes,196,9,2871683,38.06,1472463,141.486,PRJNA561882,SRR10019265,VTKG00000000,L1,OH,41.2089,-81.5592,220.11,0.5737,0.328,5.3596,6.231,7.9646,11.2768,3248.7152,0.1624,7.8931,156.8108,228.6395,40.1744,0.037,40.6521,19.9367,19.1556,2.6777,63.075,0.4619,-8.0287,4.3485,1.1326,15.0746,15.2397,0.1542,57.2462,0.1263,1.0491,7.2097,0.7294,2.0381
L7-0214,OH-CV-4,Listeria,L. monocytogenes,82,21,2915128,38.06,525006,153.576,PRJNA561882,SRR10019185,VTKF00000000,L1,OH,41.2089,-81.5592,220.11,0.5737,0.328,5.3596,6.231,7.9646,11.2768,3248.7152,0.1624,7.8931,156.8108,228.6395,40.1744,0.037,40.6521,19.9367,19.1556,2.6777,63.075,0.4619,-8.0287,4.3485,1.1326,15.0746,15.2397,0.1542,57.2462,0.1263,1.0491,7.2097,0.7294,2.0381
L7-0215,OH-CV-4,Listeria,L. welshimeri,47,36,2800537,36.21,157985,176.082,PRJNA561882,SRR11344219,JAARYO000000000,L8,OH,41.2089,-81.5592,220.11,0.5737,0.328,5.3596,6.231,7.9646,11.2768,3248.7152,0.1624,7.8931,156.8108,228.6395,40.1744,0.037,40.6521,19.9367,19.1556,2.6777,63.075,0.4619,-8.0287,4.3485,1.1326,15.0746,15.2397,0.1542,57.2462,0.1263,1.0491,7.2097,0.7294,2.0381
L7-0217,OH-CV-4,Listeria,L. booriae,S5022,14,3490983,42.04,557560,111.213,PRJNA561882,SRR11344218,JAARYN000000000,L12,OH,41.2089,-81.5592,220.11,0.5737,0.328,5.3596,6.231,7.9646,11.2768,3248.7152,0.1624,7.8931,156.8108,228.6395,40.1744,0.037,40.6521,19.9367,19.1556,2.6777,63.075,0.4619,-8.0287,4.3485,1.1326,15.0746,15.2397,0.1542,57.2462,0.1263,1.0491,7.2097,0.7294,2.0381
L7-0218,OH-CV-4,Listeria,L. monocytogenes,197,10,2864392,38.08,1461179,107.099,PRJNA561882,SRR10019186,VTKE00000000,L1,OH,41.2089,-81.5592,220.11,0.5737,0.328,5.3596,6.231,7.9646,11.2768,3248.7152,0.1624,7.8931,156.8108,228.6395,40.1744,0.037,40.6521,19.9367,19.1556,2.6777,63.075,0.4619,-8.0287,4.3485,1.1326,15.0746,15.2397,0.1542,57.2462,0.1263,1.0491,7.2097,0.7294,2.0381
L7-0221,OH-CV-5,Listeria,L. monocytogenes,81,12,2844779,38.12,495743,101.364,PRJNA561882,SRR10019187,VTKD00000000,L1,OH,41.2154,-81.5558,217.79,0.4866,0.2325,4.4926,6.492,6.4991,15.5523,2844.2287,0.1962,8.7363,129.3152,294.357,67.3935,0.0341,31.0209,11.9915,21.7383,2.3774,63.075,0.4619,-8.0287,4.3485,1.1282,14.8311,14.7874,0.1734,58.2813,0.1264,1.2106,6.8999,0.5132,2.0485
L7-0222,OH-CV-5,Listeria,L. monocytogenes,195,14,2987443,37.89,477273,50.2036,PRJNA561882,SRR10019264,VTKC00000000,L1,OH,41.2154,-81.5558,217.79,0.4866,0.2325,4.4926,6.492,6.4991,15.5523,2844.2287,0.1962,8.7363,129.3152,294.357,67.3935,0.0341,31.0209,11.9915,21.7383,2.3774,63.075,0.4619,-8.0287,4.3485,1.1282,14.8311,14.7874,0.1734,58.2813,0.1264,1.2106,6.8999,0.5132,2.0485
L7-0229,AL-OM-1,Listeria,L. cossartiae,198,13,2821772,38.67,523834,134.752,PRJNA561882,SRR11344217,JAARYM000000000,L5,AL,33.3367,-86.7408,166.79,0.4779,0.2209,4.7618,5.021,7.2373,120.5236,616.5903,0.0621,15.4205,86.3417,107.1221,155.7901,0.0443,27.1566,9.3319,27.1481,2.9381,173.85,11.0832,0.09,3.1822,1.1957,15.2978,16.3078,0.199,60.361,1.2673,1.7196,3.0719,0.0059,0.574
L7-0230,AL-OM-1,Listeria,L. monocytogenes,199,23,2934033,37.86,343486,189.782,PRJNA561882,SRR10019262,VTKB00000000,L1,AL,33.3367,-86.7408,166.79,0.4779,0.2209,4.7618,5.021,7.2373,120.5236,616.5903,0.0621,15.4205,86.3417,107.1221,155.7901,0.0443,27.1566,9.3319,27.1481,2.9381,173.85,11.0832,0.09,3.1822,1.1957,15.2978,16.3078,0.199,60.361,1.2673,1.7196,3.0719,0.0059,0.574
L7-0231,AL-OM-1,Listeria,L. booriae,S5023,29,3722216,41.73,320911,126.691,PRJNA561882,SRR11344215,JAARYL000000000,L12,AL,33.3367,-86.7408,166.79,0.4779,0.2209,4.7618,5.021,7.2373,120.5236,616.5903,0.0621,15.4205,86.3417,107.1221,155.7901,0.0443,27.1566,9.3319,27.1481,2.9381,173.85,11.0832,0.09,3.1822,1.1957,15.2978,16.3078,0.199,60.361,1.2673,1.7196,3.0719,0.0059,0.574
L7-0232,AL-OM-1,Listeria,L. booriae,S5024,33,3757166,41.77,278148,126.759,PRJNA561882,SRR11344214,JAARYK000000000,L12,AL,33.3367,-86.7408,166.79,0.4779,0.2209,4.7618,5.021,7.2373,120.5236,616.5903,0.0621,15.4205,86.3417,107.1221,155.7901,0.0443,27.1566,9.3319,27.1481,2.9381,173.85,11.0832,0.09,3.1822,1.1957,15.2978,16.3078,0.199,60.361,1.2673,1.7196,3.0719,0.0059,0.574
L7-0233,AL-OM-1,Listeria,L. cossartiae,200,11,2870397,38.63,1439256,175.808,PRJNA561882,SRR11344213,JAARYJ000000000,L5,AL,33.3367,-86.7408,166.79,0.4779,0.2209,4.7618,5.021,7.2373,120.5236,616.5903,0.0621,15.4205,86.3417,107.1221,155.7901,0.0443,27.1566,9.3319,27.1481,2.9381,173.85,11.0832,0.09,3.1822,1.1957,15.2978,16.3078,0.199,60.361,1.2673,1.7196,3.0719,0.0059,0.574
L7-0235,AL-OM-2,Listeria,L. monocytogenes,201,18,2969808,37.74,526585,111.824,PRJNA561882,SRR10019188,VTKA00000000,L2,AL,33.3348,-86.745,171.75,0.6317,0.4715,11.2526,4.77,15.7221,350.8469,556.5869,0.1653,17.2119,103.2879,73.2267,352.866,0.0858,37.9913,13.3819,50.1672,7.4915,173.85,11.0832,0.09,3.1822,1.2117,15.612,16.6892,0.1921,59.6038,1.2302,1.7506,3.1435,0.0073,0.5595
L7-0236,AL-OM-2,Listeria,L. booriae,S5023,20,3499123,42.06,442794,142.887,PRJNA561882,SRR11344212,JAARYI000000000,L12,AL,33.3348,-86.745,171.75,0.6317,0.4715,11.2526,4.77,15.7221,350.8469,556.5869,0.1653,17.2119,103.2879,73.2267,352.866,0.0858,37.9913,13.3819,50.1672,7.4915,173.85,11.0832,0.09,3.1822,1.2117,15.612,16.6892,0.1921,59.6038,1.2302,1.7506,3.1435,0.0073,0.5595
L7-0239,AL-OM-3,Listeria,L. monocytogenes,57,13,2940344,37.76,491219,118.841,PRJNA561882,SRR10019189,VTJZ00000000,L2,AL,33.3411,-86.7381,178.5,0.5674,0.3373,7.707,4.464,10.8026,193.6764,529.743,0.3416,55.9627,101.9189,82.2581,330.769,0.0601,32.5584,13.911,42.0067,4.201,173.85,11.0832,0.09,3.1822,1.207,15.6655,16.9638,0.2076,59.357,1.2647,1.7012,3.0526,0.0059,0.5748
L7-0245,AL-OM-4,Listeria,L. booriae,S5024,22,3600116,42.09,597675,83.8888,PRJNA561882,SRR11344211,JAARYH000000000,L12,AL,33.3451,-86.7299,188.07,0.4816,0.2316,6.5538,5.416,9.586,277.7182,953.3403,0.3991,37.5949,76.219,79.6141,148.6135,0.066,31.5792,7.2505,27.1153,3.2391,173.85,11.0832,0.09,3.1822,1.4181,15.8209,16.8788,0.216,59.0314,1.1802,1.7449,3.0987,0.0069,0.6041
L7-0251,AL-OM-5,Listeria,L. monocytogenes,202,14,2939360,37.83,314168,251.833,PRJNA561882,SRR10019190,VTJY00000000,L2,AL,33.3436,-86.7345,168.23,0.6168,0.4064,7.4142,5.872,10.3793,121.2031,2121.3049,0.1058,4.0984,164.3999,313.5546,163.9772,0.0482,33.8735,9.7837,28.0048,2.4636,173.85,11.0832,0.09,3.1822,1.2593,15.9222,17.1589,0.2156,58.8213,1.2285,1.7277,3.0817,0.0065,0.5783
L7-0253,AL-OM-5,Listeria,L. cossartiae,203,12,2800390,38.75,522584,148.07,PRJNA561882,SRR11344210,JAARYG000000000,L5,AL,33.3436,-86.7345,168.23,0.6168,0.4064,7.4142,5.872,10.3793,121.2031,2121.3049,0.1058,4.0984,164.3999,313.5546,163.9772,0.0482,33.8735,9.7837,28.0048,2.4636,173.85,11.0832,0.09,3.1822,1.2593,15.9222,17.1589,0.2156,58.8213,1.2285,1.7277,3.0817,0.0065,0.5783
L7-0255,AL-OM-5,Listeria,L. booriae,S5025,28,3592679,41.92,374369,91.6967,PRJNA561882,SRR11344209,JAARYF000000000,L12,AL,33.3436,-86.7345,168.23,0.6168,0.4064,7.4142,5.872,10.3793,121.2031,2121.3049,0.1058,4.0984,164.3999,313.5546,163.9772,0.0482,33.8735,9.7837,28.0048,2.4636,173.85,11.0832,0.09,3.1822,1.2593,15.9222,17.1589,0.2156,58.8213,1.2285,1.7277,3.0817,0.0065,0.5783
L7-0256,AL-OM-5,Listeria,L. booriae,S5026,20,3749452,41.68,402087,131.986,PRJNA561882,SRR11344208,JAARYE000000000,L12,AL,33.3436,-86.7345,168.23,0.6168,0.4064,7.4142,5.872,10.3793,121.2031,2121.3049,0.1058,4.0984,164.3999,313.5546,163.9772,0.0482,33.8735,9.7837,28.0048,2.4636,173.85,11.0832,0.09,3.1822,1.2593,15.9222,17.1589,0.2156,58.8213,1.2285,1.7277,3.0817,0.0065,0.5783
L7-0259,AL-TIH-1,Listeria,L. booriae,S5027,25,3841756,41.5,490663,106.382,PRJNA561882,SRR11344207,JAARYD000000000,L12,AL,33.2473,-87.0671,128.91,0.1599,0.0943,1.8886,6.7,3.0568,5.975,1196.3214,0.047,0.9935,103.4498,164.6988,53.1582,0.0225,19.882,5.4851,8.8502,0.6645,155.275,10.7613,-0.2461,3.1084,1.34,8.916,2.5605,0.1639,66.8759,5.3508,4.4861,6.7835,0.0029,3.5203
L7-0261,AL-TIH-2,Listeria,L. monocytogenes,57,30,3100079,37.62,470216,146.343,PRJNA561882,SRR10019261,VTJX00000000,L2,AL,33.2506,-87.0625,162.94,0.536,0.3537,8.2669,5.321,12.6087,148.4847,1494.922,0.0711,16.7544,142.1045,320.6336,328.1941,0.058,37.4036,10.2248,29.1171,5.7345,154.6,10.7423,-0.1435,3.1302,1.338,8.8681,2.6471,0.1625,67.0981,5.0939,4.4784,6.9832,0.0027,3.3279
L7-0269,AL-TIH-3,Listeria,L. booriae,S5028,28,3620709,42.05,270824,70.1067,PRJNA561882,SRR11344206,JAARYC000000000,L12,AL,33.2583,-87.0571,150.97,0.385,0.3116,7.6083,4.304,9.9457,225.3092,585.1188,0.1482,73.4263,77.5347,117.0637,349.4359,0.0643,33.4703,11.0434,38.7243,3.9698,154.6,10.7423,-0.1435,3.1302,1.3536,8.7898,3.193,0.1486,66.4173,4.6895,4.5921,7.6638,0.0021,3.1501
L7-0273,AL-TIH-4,Listeria,L. booriae,S5024,32,3509913,42.0,351168,159.55,PRJNA561882,SRR11344204,JAASWS000000000,L12,AL,33.2518,-87.0592,174.06,0.7337,0.6663,13.3043,5.949,18.1761,126.0744,4177.5375,0.1395,3.5852,209.7654,423.6747,297.4096,0.0621,49.1532,13.2592,29.5732,4.3411,154.6,10.7423,-0.1435,3.1302,1.363,8.6852,2.7309,0.1591,67.4094,4.9234,4.4104,7.1428,0.0027,3.1731
L7-0278,AL-TIH-4,Listeria,L. booriae,S5029,15,3723017,41.87,479822,99.1269,PRJNA561882,SRR11344203,JAARYB000000000,L12,AL,33.2518,-87.0592,174.06,0.7337,0.6663,13.3043,5.949,18.1761,126.0744,4177.5375,0.1395,3.5852,209.7654,423.6747,297.4096,0.0621,49.1532,13.2592,29.5732,4.3411,154.6,10.7423,-0.1435,3.1302,1.363,8.6852,2.7309,0.1591,67.4094,4.9234,4.4104,7.1428,0.0027,3.1731
L7-0279,AR-LL-2,Listeria,L. innocua,204,13,2853465,37.39,584637,148.958,PRJNA561882,SRR11344202,JAARYA000000000,L6,AR,36.0003,-94.4267,379.31,0.2142,0.1529,2.5626,5.538,3.2044,63.5626,644.0115,0.0,2.5209,66.1796,89.9774,42.7816,0.0201,25.7718,3.4597,7.8643,1.3834,59.375,8.5584,-3.0277,3.5897,0.9833,4.1663,1.777,0.0183,34.5178,0.8013,0.7381,56.8961,0.0,0.1018
L7-0280,AR-LL-2,Listeria,L. innocua,142,15,2796832,37.41,528850,103.452,PRJNA561882,SRR11344201,JAARXZ000000000,L6,AR,36.0003,-94.4267,379.31,0.2142,0.1529,2.5626,5.538,3.2044,63.5626,644.0115,0.0,2.5209,66.1796,89.9774,42.7816,0.0201,25.7718,3.4597,7.8643,1.3834,59.375,8.5584,-3.0277,3.5897,0.9833,4.1663,1.777,0.0183,34.5178,0.8013,0.7381,56.8961,0.0,0.1018
L7-0285,AR-LL-3,Listeria,L. innocua,205,12,2773505,37.42,461061,190.848,PRJNA561882,SRR11344200,JAARXY000000000,L6,AR,35.9977,-94.4268,376.58,0.2149,0.2008,3.5798,5.022,5.2206,48.1329,532.7984,0.0,8.6051,83.1002,97.0775,54.8711,0.0256,24.7909,5.8285,13.1163,1.4057,59.15,8.5584,-3.3142,3.5714,0.9641,4.1787,1.851,0.0185,33.9006,0.7808,0.7531,57.4541,0.0,0.0992
L7-0288,AR-LL-3,Listeria,L. innocua,206,50,3139428,37.11,240885,106.903,PRJNA561882,SRR11344199,JAARXX000000000,L6,AR,35.9977,-94.4268,376.58,0.2149,0.2008,3.5798,5.022,5.2206,48.1329,532.7984,0.0,8.6051,83.1002,97.0775,54.8711,0.0256,24.7909,5.8285,13.1163,1.4057,59.15,8.5584,-3.3142,3.5714,0.9641,4.1787,1.851,0.0185,33.9006,0.7808,0.7531,57.4541,0.0,0.0992
L7-0291,AR-LL-5,Listeria,L. innocua,10,10,2857661,37.42,1501383,159.296,PRJNA561882,SRR11344198,JAARXW000000000,L6,AR,36.0021,-94.4209,367.28,0.3794,0.3066,4.3936,6.103,6.3747,10.5726,2216.7715,0.0408,1.5659,131.3971,168.5604,43.2611,0.0194,34.906,11.0366,11.579,1.9746,59.375,8.5584,-3.0277,3.5897,1.6016,3.9983,1.8192,0.0164,33.771,0.7981,0.6986,57.189,0.0,0.1079
L7-0297,AR-BG-2,Listeria,L. innocua,207,16,2987776,37.21,405074,99.4132,PRJNA561882,SRR11344197,JAARXV000000000,L6,AR,36.1345,-94.1295,380.94,0.1984,0.2077,2.9047,6.491,4.0046,4.7789,1929.5993,0.0133,2.1222,147.5206,172.5147,44.6452,0.0164,27.1021,4.6178,9.7561,1.1895,57.35,8.5513,-2.8923,3.5863,3.4321,12.5842,26.107,0.2855,22.9711,0.1474,0.6898,33.5543,0.0004,0.2282
L7-0303,AR-BG-3,Listeria,L. innocua,208,14,2822006,37.36,389057,200.893,PRJNA561882,SRR11344196,JAARXU000000000,L6,AR,36.1321,-94.1364,384.47,0.1514,0.2075,3.0789,6.851,4.1777,3.4494,1775.2839,0.0066,0.808,184.5516,192.4904,42.1103,0.0168,25.2727,5.3169,7.1646,0.9208,57.35,8.5513,-2.8923,3.5863,2.5113,13.0414,28.1923,0.1858,22.8456,0.1642,0.6577,32.2112,0.0004,0.1902
L7-0304,AR-BG-3,Listeria,L. innocua,209,28,3077314,37.09,524942,118.819,PRJNA561882,SRR11344195,JAARXT000000000,L6,AR,36.1321,-94.1364,384.47,0.1514,0.2075,3.0789,6.851,4.1777,3.4494,1775.2839,0.0066,0.808,184.5516,192.4904,42.1103,0.0168,25.2727,5.3169,7.1646,0.9208,57.35,8.5513,-2.8923,3.5863,2.5113,13.0414,28.1923,0.1858,22.8456,0.1642,0.6577,32.2112,0.0004,0.1902
L7-0309,AR-BG-4,Listeria,L. innocua,210,9,2844224,37.42,524500,171.252,PRJNA561882,SRR11344193,JAARXS000000000,L6,AR,36.1417,-94.1246,393.4,0.311,0.3576,5.64,6.737,7.5478,3.9611,3094.139,0.0192,2.5754,175.4358,315.4629,81.1282,0.0224,32.1792,15.7686,14.8686,1.8081,56.3,8.5587,-2.8939,3.5777,2.3028,12.4834,25.8322,0.3056,23.6479,0.221,0.6415,34.3377,0.0004,0.2275
L7-0311,AR-BG-5,Listeria,L. innocua,211,16,2812589,37.4,381060,175.631,PRJNA561882,SRR11344192,JAARXR000000000,L6,AR,36.1424,-94.1186,378.22,0.29,0.2599,3.9157,6.622,6.0055,4.5539,2412.1431,0.0192,1.9678,152.2572,220.1378,49.2055,0.0209,27.4765,7.4606,10.2282,1.3176,56.3,8.5587,-2.8939,3.5777,1.8931,12.3109,25.1776,0.3115,23.8159,0.2038,0.6573,35.4081,0.0004,0.2214
L7-0312,AR-BG-5,Listeria,L. innocua,212,11,2818069,37.39,543579,216.747,PRJNA561882,SRR11344191,JAARXQ000000000,L6,AR,36.1424,-94.1186,378.22,0.29,0.2599,3.9157,6.622,6.0055,4.5539,2412.1431,0.0192,1.9678,152.2572,220.1378,49.2055,0.0209,27.4765,7.4606,10.2282,1.3176,56.3,8.5587,-2.8939,3.5777,1.8931,12.3109,25.1776,0.3115,23.8159,0.2038,0.6573,35.4081,0.0004,0.2214
L7-0313,AR-BG-5,Listeria,L. innocua,208,12,2810000,37.36,554747,138.453,PRJNA561882,SRR11344126,JAARXP000000000,L6,AR,36.1424,-94.1186,378.22,0.29,0.2599,3.9157,6.622,6.0055,4.5539,2412.1431,0.0192,1.9678,152.2572,220.1378,49.2055,0.0209,27.4765,7.4606,10.2282,1.3176,56.3,8.5587,-2.8939,3.5777,1.8931,12.3109,25.1776,0.3115,23.8159,0.2038,0.6573,35.4081,0.0004,0.2214
L7-0317,AR-FR-1,Listeria,L. innocua,128,15,2882025,37.31,475666,176.294,PRJNA561882,SRR11344125,JAARXO000000000,L6,AR,35.8779,-93.1218,567.76,0.1437,0.2086,5.1732,7.635,6.2321,1.882,30664.2844,0.081,0.9223,105.452,105.5715,61.6008,0.067,35.1216,9.8529,10.7796,4.4378,81.2,7.4955,-3.7568,3.4738,0.016,3.9608,0.2225,0.0019,85.3857,0.7969,1.0081,8.5934,0.0,0.0147
L7-0323,AR-FR-3,Listeria,L. monocytogenes,213,11,2921314,37.99,1471583,207.359,PRJNA561882,SRR10019260,VTJW00000000,L1,AR,35.8794,-93.127,570.99,0.0696,0.0353,0.8225,7.377,0.8878,3.0248,2247.6287,0.0041,1.2951,77.67,41.4729,10.1673,0.0115,18.5827,1.9235,3.1706,1.4124,80.675,6.9897,-4.1081,3.4695,0.0166,3.6236,0.2248,0.0019,86.059,0.8229,1.0277,8.2089,0.0,0.0147
L7-0325,AR-FR-3,Listeria,L. monocytogenes,90,8,2839512,38.05,1432169,158.906,PRJNA561882,SRR10019191,VTJV00000000,L1,AR,35.8794,-93.127,570.99,0.0696,0.0353,0.8225,7.377,0.8878,3.0248,2247.6287,0.0041,1.2951,77.67,41.4729,10.1673,0.0115,18.5827,1.9235,3.1706,1.4124,80.675,6.9897,-4.1081,3.4695,0.0166,3.6236,0.2248,0.0019,86.059,0.8229,1.0277,8.2089,0.0,0.0147
L7-0327,KY-RR-1,Listeria,L. monocytogenes,57,12,2857803,37.91,1454930,213.464,PRJNA561882,SRR10019192,VTJU00000000,L2,KY,37.7871,-83.6071,354.8,0.4229,0.2719,5.4606,6.125,8.0202,58.4381,2347.8748,0.0558,2.6533,146.7488,116.193,94.2608,0.0308,35.1633,5.8357,15.442,1.6538,126.175,4.7703,-4.4897,3.7581,0.0703,3.6059,2.0235,0.1645,86.9099,0.4306,0.6728,6.1177,0.0,0.0046
L7-0329,KY-RR-1,Listeria,L. marthii,214,9,2721609,38.79,518466,145.225,PRJNA561882,SRR11344124,JAARXN000000000,L4,KY,37.7871,-83.6071,354.8,0.4229,0.2719,5.4606,6.125,8.0202,58.4381,2347.8748,0.0558,2.6533,146.7488,116.193,94.2608,0.0308,35.1633,5.8357,15.442,1.6538,126.175,4.7703,-4.4897,3.7581,0.0703,3.6059,2.0235,0.1645,86.9099,0.4306,0.6728,6.1177,0.0,0.0046
L7-0331,KY-RR-1,Listeria,L. marthii,215,11,2708141,38.73,1375048,102.108,PRJNA561882,SRR11344123,JAARXM000000000,L4,KY,37.7871,-83.6071,354.8,0.4229,0.2719,5.4606,6.125,8.0202,58.4381,2347.8748,0.0558,2.6533,146.7488,116.193,94.2608,0.0308,35.1633,5.8357,15.442,1.6538,126.175,4.7703,-4.4897,3.7581,0.0703,3.6059,2.0235,0.1645,86.9099,0.4306,0.6728,6.1177,0.0,0.0046
L7-0335,KY-RR-2,Listeria,L. booriae,S5030,25,3567458,42.03,387223,59.0053,PRJNA561882,SRR11344122,JAARXL000000000,L12,KY,37.7929,-83.6101,366.67,0.2636,0.0812,2.4076,5.347,4.034,101.3955,732.342,0.0147,37.3625,80.0217,29.326,26.8276,0.0268,25.4222,2.944,11.0382,0.7534,126.175,4.7703,-4.4897,3.7581,0.0663,3.4035,1.9521,0.1612,87.4713,0.4106,0.6285,5.901,0.0,0.0055
L7-0337,KY-RR-2,Listeria,L. monocytogenes,57,21,2859979,37.86,362519,133.126,PRJNA514286,SRR9620893,AAHZHV000000000,L2,KY,37.7929,-83.6101,366.67,0.2636,0.0812,2.4076,5.347,4.034,101.3955,732.342,0.0147,37.3625,80.0217,29.326,26.8276,0.0268,25.4222,2.944,11.0382,0.7534,126.175,4.7703,-4.4897,3.7581,0.0663,3.4035,1.9521,0.1612,87.4713,0.4106,0.6285,5.901,0.0,0.0055
L7-0339,KY-RR-3,Listeria,L. monocytogenes,100,10,2899397,37.96,526597,139.249,PRJNA561882,SRR10019193,VTJT00000000,L1,KY,37.796,-83.6125,376.73,0.3665,0.1709,3.5645,5.009,4.5173,171.1677,300.4717,0.0585,18.7431,117.1408,42.5689,94.2878,0.0364,25.7777,6.5009,14.0019,1.3089,126.175,4.7703,-4.4897,3.7581,0.0661,3.2476,1.8885,0.157,87.9877,0.4124,0.5969,5.6352,0.0,0.0086
L7-0347,KY-RR-4,Listeria,L. monocytogenes,57,16,2862063,37.92,570830,59.1038,PRJNA561882,SRR10019259,VTJS00000000,L2,KY,37.7991,-83.6086,373.69,0.3884,0.1916,4.9747,4.566,6.9592,246.0272,281.2254,0.0423,131.3428,85.421,29.6284,89.3666,0.0466,34.9333,7.0607,23.876,2.517,126.175,4.7703,-4.4897,3.7581,0.0663,3.3072,1.8333,0.1606,87.6162,0.4061,0.5742,6.0303,0.0,0.0059
